station_id,name,language,valid_from,valid_to,name_type,source_id,notes
PL.STN.Gdansk_Nowy_Port,Danzig Neufahrwasser,und,,,alt,SRC.osm,
PL.STN.Bystrzyca_Klodzka_Przedmiescie,Bystrzyca Kłodzka Przedmieście,ru,,,official,SRC.osm,
PL.STN.Bystrzyca_Klodzka_Przedmiescie,Быстрица Клодзка Предместье,und,,,alt,SRC.osm,
PL.STN.Bystrzyca_Klodzka_Przedmiescie,Передмістя Бистрица Клодзька,und,,,alt,SRC.osm,
PL.STN.Gdynia_Wzgorze_Swietego_Maksymiliana,Gdynia Wzgórze Świętego Maksymiliana,ru,,,official,SRC.osm,
PL.STN.Gdynia_Wzgorze_Swietego_Maksymiliana,"Gdingen, Heiliger Maximilian Hügel",und,,,alt,SRC.osm,
PL.STN.Wieruszow_Miasto,Wieruszów Miasto,ru,,,official,SRC.osm,
PL.STN.Wieruszow_Miasto,Weruschau Stadt,und,,,alt,SRC.osm,
PL.STN.Zaklikow,Zaklików,ru,,,official,SRC.osm,
PL.STN.Zaklikow,Закликув,und,,,alt,SRC.osm,
PL.STN.Zaklikow,Заклікув,und,,,alt,SRC.osm,
PL.STN.Heringsdorf,Heringsdorf,ru,,,official,SRC.osm,
PL.STN.Wroclaw_Nadodrze,Wrocław Nadodrze,ru,,,official,SRC.osm,
PL.STN.Dabrowa_Gornicza_Poludniowa,Dąbrowa Górnicza Południowa,ru,,,official,SRC.osm,
PL.STN.Dabrowa_Gornicza_Poludniowa,Strzemieszyce Południowe,und,,,alt,SRC.osm,
PL.STN.Dabrowa_Gornicza_Strzemieszyce,Dąbrowa Górnicza Strzemieszyce,ru,,,official,SRC.osm,
PL.STN.Dabrowa_Gornicza_Strzemieszyce,Домброва Гурнича Стржемешице,und,,,alt,SRC.osm,
PL.STN.Mikulowa,Mikułowa,ru,,,official,SRC.osm,
PL.STN.Dabrowa_Gornicza_Zabkowice,Dąbrowa Górnicza Ząbkowice,ru,,,official,SRC.osm,
PL.STN.Dabrowa_Gornicza_Zabkowice,Домброва Гурнича Зомбковице,und,,,alt,SRC.osm,
PL.STN.Dabrowa_Gornicza_Zabkowice,Домброва Гурнича Зомбковіце,und,,,alt,SRC.osm,
PL.STN.Wisla_Glebce,Wisła Głębce,ru,,,official,SRC.osm,
PL.STN.Wisla_Glebce,Висла Гленбце,und,,,alt,SRC.osm,
